test,label,edges,n_edges,seed,baseline_metric,scenario_metric,diff,pct,verdict
single,475556403#1,475556403#1,1,144,11197471.0,10920501.0,-276970.0,-2.4735,LEPIEJ
single,475556403#1,475556403#1,1,42,11445478.0,11192084.0,-253394.0,-2.2139,LEPIEJ
single,475556403#1,475556403#1,1,200,11191276.0,10938025.0,-253251.0,-2.2629,LEPIEJ
single,475556403#1,475556403#1,1,777,11489782.0,11462729.0,-27053.0,-0.2355,LEPIEJ
single,475556403#1,475556403#1,1,1337,11441243.0,11217280.0,-223963.0,-1.9575,LEPIEJ
single,475556403#1,475556403#1,1,2024,11325626.0,10861055.0,-464571.0,-4.1019,LEPIEJ
single,475556403#1,475556403#1,1,7,11343409.0,10948103.0,-395306.0,-3.4849,LEPIEJ
single,475556403#1,475556403#1,1,99,11292401.0,11110162.0,-182239.0,-1.6138,LEPIEJ
single,-21046520#1,-21046520#1,1,144,11197471.0,11277910.0,+80439.0,+0.7184,GORZEJ
single,-21046520#1,-21046520#1,1,42,11445478.0,11658370.0,+212892.0,+1.8601,GORZEJ
single,-21046520#1,-21046520#1,1,200,11191276.0,11633491.0,+442215.0,+3.9514,GORZEJ
single,-21046520#1,-21046520#1,1,777,11489782.0,11871634.0,+381852.0,+3.3234,GORZEJ
single,-21046520#1,-21046520#1,1,1337,11441243.0,11239788.0,-201455.0,-1.7608,LEPIEJ
single,-21046520#1,-21046520#1,1,2024,11325626.0,11420911.0,+95285.0,+0.8413,GORZEJ
single,-21046520#1,-21046520#1,1,7,11343409.0,11459855.0,+116446.0,+1.0266,GORZEJ
single,-21046520#1,-21046520#1,1,99,11292401.0,11451749.0,+159348.0,+1.4111,GORZEJ
single,19844875#2,19844875#2,1,144,11197471.0,11185087.0,-12384.0,-0.1106,LEPIEJ
single,19844875#2,19844875#2,1,42,11445478.0,11420916.0,-24562.0,-0.2146,LEPIEJ
single,19844875#2,19844875#2,1,200,11191276.0,11376034.0,+184758.0,+1.6509,GORZEJ
single,19844875#2,19844875#2,1,777,11489782.0,11217646.0,-272136.0,-2.3685,LEPIEJ
single,19844875#2,19844875#2,1,1337,11441243.0,11400241.0,-41002.0,-0.3584,LEPIEJ
single,19844875#2,19844875#2,1,2024,11325626.0,11268465.0,-57161.0,-0.5047,LEPIEJ
single,19844875#2,19844875#2,1,7,11343409.0,11206659.0,-136750.0,-1.2055,LEPIEJ
single,19844875#2,19844875#2,1,99,11292401.0,11295613.0,+3212.0,+0.0284,GORZEJ
single,21931182#0,21931182#0,1,144,11197471.0,11818129.0,+620658.0,+5.5428,GORZEJ
single,21931182#0,21931182#0,1,42,11445478.0,11905361.0,+459883.0,+4.0180,GORZEJ
single,21931182#0,21931182#0,1,200,11191276.0,12079596.0,+888320.0,+7.9376,GORZEJ
single,21931182#0,21931182#0,1,777,11489782.0,12252459.0,+762677.0,+6.6379,GORZEJ
single,21931182#0,21931182#0,1,1337,11441243.0,12045269.0,+604026.0,+5.2794,GORZEJ
single,21931182#0,21931182#0,1,2024,11325626.0,11537133.0,+211507.0,+1.8675,GORZEJ
single,21931182#0,21931182#0,1,7,11343409.0,11785853.0,+442444.0,+3.9005,GORZEJ
single,21931182#0,21931182#0,1,99,11292401.0,11765611.0,+473210.0,+4.1905,GORZEJ
single,-372635877,-372635877,1,144,11197471.0,17772834.0,+6575363.0,+58.7219,GORZEJ
single,-372635877,-372635877,1,42,11445478.0,18392951.0,+6947473.0,+60.7006,GORZEJ
single,-372635877,-372635877,1,200,11191276.0,17292180.0,+6100904.0,+54.5148,GORZEJ
